"","country","year","income","lifeExp","region","pop","pop2"
"37665","Thailand",2015,15200,77.6,"Asia",68700000,9.04525975719258
"37884","Timor-Leste",2015,2150,72.6,"Asia",1240000,5.03062193758122
"38103","Togo",2015,1350,62.1,"Africa",7420000,6.81968961514356
"38322","Tonga",2015,5190,70.3,"Oceania",106000,2.5711943730942
"38541","Trinidad and Tobago",2015,31300,73.1,"Americas",1360000,5.12299525771224
"38760","Tunisia",2015,10800,77.4,"Africa",11300000,7.24031328368257
"38979","Turkey",2015,23400,79,"Asia",78300000,9.17605816096103
"39198","Turkmenistan",2015,15000,69.9,NA,5570000,6.53290561190347
"39417","Tuvalu",2015,3320,NA,"Oceania",11000,0.305650551780507
"39636","Uganda",2015,1690,61.6,"Africa",40100000,8.5068868922768
"39855","Ukraine",2015,7470,71.9,"Europe",44700000,8.6154840595838
"40074","United Arab Emirates",2015,66000,76.5,"Asia",9150000,7.0292644372517
"40293","United Kingdom",2015,38500,80.8,"Europe",65400000,8.99603281642743
"40512","United States",2015,52800,78.8,"Americas",320000000,10.583831553758
"40731","Uruguay",2015,19800,77.1,"Americas",3430000,6.04807081914212
"40950","Uzbekistan",2015,5700,70,"Asia",31000000,8.24949776244942
"41169","Vanuatu",2015,2810,63.6,"Oceania",265000,3.48748510496836
"41388","Venezuela",2015,15600,75.5,"Americas",31200000,8.25592865277971
"41607","Vietnam",2015,5670,74.3,NA,93600000,9.35454094144782
"41826","Yemen",2015,2640,67.2,"Asia",26900000,8.10763684457207
"42045","Zambia",2015,3630,58.1,"Africa",16100000,7.59432982995469
"42264","Zimbabwe",2015,1890,58.3,"Africa",15800000,7.5755204979972
